
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
din care:   Boala ischemica a inimii, Arad, Anul 2008, Numar persoane, 1597
din care:   Boala ischemica a inimii, Arad, Anul 2009, Numar persoane, 1662
din care:   Boala ischemica a inimii, Arad, Anul 2010, Numar persoane, 1677
din care:   Boala ischemica a inimii, Arad, Anul 2011, Numar persoane, 1531
din care:   Boala ischemica a inimii, Arad, Anul 2012, Numar persoane, 1598
din care:   Boala ischemica a inimii, Arad, Anul 2013, Numar persoane, 1573
din care:   Boala ischemica a inimii, Arad, Anul 2014, Numar persoane, 1395
din care:   Boala ischemica a inimii, Arad, Anul 2015, Numar persoane, 1455
din care:   Boala ischemica a inimii, Arad, Anul 2016, Numar persoane, 1327
din care:   Boala ischemica a inimii, Caras-Severin, Anul 1994, Numar persoane, 905
din care:   Boala ischemica a inimii, Caras-Severin, Anul 1995, Numar persoane, 748
din care:   Boala ischemica a inimii, Caras-Severin, Anul 1996, Numar persoane, 785
din care:   Boala ischemica a inimii, Caras-Severin, Anul 1997, Numar persoane, 830
din care:   Boala ischemica a inimii, Caras-Severin, Anul 1998, Numar persoane, 829
din care:   Boala ischemica a inimii, Caras-Severin, Anul 1999, Numar persoane, 966
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2000, Numar persoane, 1000
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2001, Numar persoane, 909
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2002, Numar persoane, 914
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2003, Numar persoane, 908
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2004, Numar persoane, 961
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2005, Numar persoane, 1000
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2006, Numar persoane, 905
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2007, Numar persoane, 928
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2008, Numar persoane, 921
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2009, Numar persoane, 938
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2010, Numar persoane, 931
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2011, Numar persoane, 949
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2012, Numar persoane, 809
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2013, Numar persoane, 802
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2014, Numar persoane, 891
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2015, Numar persoane, 827
din care:   Boala ischemica a inimii, Caras-Severin, Anul 2016, Numar persoane, 760
din care:   Boala ischemica a inimii, Hunedoara, Anul 1994, Numar persoane, 1530
din care:   Boala ischemica a inimii, Hunedoara, Anul 1995, Numar persoane, 1594
din care:   Boala ischemica a inimii, Hunedoara, Anul 1996, Numar persoane, 1674
din care:   Boala ischemica a inimii, Hunedoara, Anul 1997, Numar persoane, 1662
din care:   Boala ischemica a inimii, Hunedoara, Anul 1998, Numar persoane, 1511
din care:   Boala ischemica a inimii, Hunedoara, Anul 1999, Numar persoane, 1562
din care:   Boala ischemica a inimii, Hunedoara, Anul 2000, Numar persoane, 1431
din care:   Boala ischemica a inimii, Hunedoara, Anul 2001, Numar persoane, 1423
din care:   Boala ischemica a inimii, Hunedoara, Anul 2002, Numar persoane, 1560
din care:   Boala ischemica a inimii, Hunedoara, Anul 2003, Numar persoane, 1432
din care:   Boala ischemica a inimii, Hunedoara, Anul 2004, Numar persoane, 1431
din care:   Boala ischemica a inimii, Hunedoara, Anul 2005, Numar persoane, 1560
din care:   Boala ischemica a inimii, Hunedoara, Anul 2006, Numar persoane, 1503
din care:   Boala ischemica a inimii, Hunedoara, Anul 2007, Numar persoane, 1412
din care:   Boala ischemica a inimii, Hunedoara, Anul 2008, Numar persoane, 1534
din care:   Boala ischemica a inimii, Hunedoara, Anul 2009, Numar persoane, 1500
din care:   Boala ischemica a inimii, Hunedoara, Anul 2010, Numar persoane, 1444
din care:   Boala ischemica a inimii, Hunedoara, Anul 2011, Numar persoane, 1468
din care:   Boala ischemica a inimii, Hunedoara, Anul 2012, Numar persoane, 1426
din care:   Boala ischemica a inimii, Hunedoara, Anul 2013, Numar persoane, 1472
din care:   Boala ischemica a inimii, Hunedoara, Anul 2014, Numar persoane, 1568
din care:   Boala ischemica a inimii, Hunedoara, Anul 2015, Numar persoane, 1540
din care:   Boala ischemica a inimii, Hunedoara, Anul 2016, Numar persoane, 1562
din care:   Boala ischemica a inimii, Timis, Anul 1994, Numar persoane, 2041
din care:   Boala ischemica a inimii, Timis, Anul 1995, Numar persoane, 2073
din care:   Boala ischemica a inimii, Timis, Anul 1996, Numar persoane, 1962
din care:   Boala ischemica a inimii, Timis, Anul 1997, Numar persoane, 1978
din care:   Boala ischemica a inimii, Timis, Anul 1998, Numar persoane, 1897
din care:   Boala ischemica a inimii, Timis, Anul 1999, Numar persoane, 2062
din care:   Boala ischemica a inimii, Timis, Anul 2000, Numar persoane, 1869
din care:   Boala ischemica a inimii, Timis, Anul 2001, Numar persoane, 1717
din care:   Boala ischemica a inimii, Timis, Anul 2002, Numar persoane, 1795
din care:   Boala ischemica a inimii, Timis, Anul 2003, Numar persoane, 1873
din care:   Boala ischemica a inimii, Timis, Anul 2004, Numar persoane, 1755
din care:   Boala ischemica a inimii, Timis, Anul 2005, Numar persoane, 1715
din care:   Boala ischemica a inimii, Timis, Anul 2006, Numar persoane, 1682
din care:   Boala ischemica a inimii, Timis, Anul 2007, Numar persoane, 1691
din care:   Boala ischemica a inimii, Timis, Anul 2008, Numar persoane, 1596
din care:   Boala ischemica a inimii, Timis, Anul 2009, Numar persoane, 1473
din care:   Boala ischemica a inimii, Timis, Anul 2010, Numar persoane, 1836
din care:   Boala ischemica a inimii, Timis, Anul 2011, Numar persoane, 1788
din care:   Boala ischemica a inimii, Timis, Anul 2012, Numar persoane, 1437
din care:   Boala ischemica a inimii, Timis, Anul 2013, Numar persoane, 1239
din care:   Boala ischemica a inimii, Timis, Anul 2014, Numar persoane, 1270
din care:   Boala ischemica a inimii, Timis, Anul 2015, Numar persoane, 1317
din care:   Boala ischemica a inimii, Timis, Anul 2016, Numar persoane, 1155
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1990, Numar persoane, 11411
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1991, Numar persoane, 11461
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1992, Numar persoane, 11945
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1993, Numar persoane, 15728
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1994, Numar persoane, 15576
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1995, Numar persoane, 16207
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1996, Numar persoane, 17516
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1997, Numar persoane, 17180
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1998, Numar persoane, 16258
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 1999, Numar persoane, 15411
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2000, Numar persoane, 14770
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2001, Numar persoane, 14778
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2002, Numar persoane, 15138
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2003, Numar persoane, 15712
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2004, Numar persoane, 15367
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2005, Numar persoane, 16680
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2006, Numar persoane, 15583
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2007, Numar persoane, 14587
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2008, Numar persoane, 13435
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2009, Numar persoane, 13170
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2010, Numar persoane, 13521
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 13532
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 14083
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 13724
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 13028
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 12963
din care:  Boli cerebro-vasculare, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 12600
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 7350
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 7210
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 7553
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 10442
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 10296
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 11017
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 11705
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 11665
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 10986
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 10788
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 10463
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 10277
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 10529
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 10906
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 10235
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 10985
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 10218
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 9396
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 8734
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 8561
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 9005
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 8764
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 9066
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 9017
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 8731
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 8527
din care:  Boli cerebro-vasculare, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 8025
din care:  Boli cerebro-vasculare, Arges, Anul 1990, Numar persoane, 1098
din care:  Boli cerebro-vasculare, Arges, Anul 1991, Numar persoane, 1088
din care:  Boli cerebro-vasculare, Arges, Anul 1992, Numar persoane, 1147
din care:  Boli cerebro-vasculare, Arges, Anul 1993, Numar persoane, 1519
din care:  Boli cerebro-vasculare, Arges, Anul 1994, Numar persoane, 1589
din care:  Boli cerebro-vasculare, Arges, Anul 1995, Numar persoane, 1775
din care:  Boli cerebro-vasculare, Arges, Anul 1996, Numar persoane, 1929
din care:  Boli cerebro-vasculare, Arges, Anul 1997, Numar persoane, 1973
din care:  Boli cerebro-vasculare, Arges, Anul 1998, Numar persoane, 1961
din care:  Boli cerebro-vasculare, Arges, Anul 1999, Numar persoane, 1906
din care:  Boli cerebro-vasculare, Arges, Anul 2000, Numar persoane, 1837
din care:  Boli cerebro-vasculare, Arges, Anul 2001, Numar persoane, 1358
din care:  Boli cerebro-vasculare, Arges, Anul 2002, Numar persoane, 1235
din care:  Boli cerebro-vasculare, Arges, Anul 2003, Numar persoane, 1303
din care:  Boli cerebro-vasculare, Arges, Anul 2004, Numar persoane, 1151
din care:  Boli cerebro-vasculare, Arges, Anul 2005, Numar persoane, 1265
din care:  Boli cerebro-vasculare, Arges, Anul 2006, Numar persoane, 1136
din care:  Boli cerebro-vasculare, Arges, Anul 2007, Numar persoane, 1161
din care:  Boli cerebro-vasculare, Arges, Anul 2008, Numar persoane, 1165
din care:  Boli cerebro-vasculare, Arges, Anul 2009, Numar persoane, 1208
din care:  Boli cerebro-vasculare, Arges, Anul 2010, Numar persoane, 1258
din care:  Boli cerebro-vasculare, Arges, Anul 2011, Numar persoane, 1194
din care:  Boli cerebro-vasculare, Arges, Anul 2012, Numar persoane, 1095
din care:  Boli cerebro-vasculare, Arges, Anul 2013, Numar persoane, 1121
din care:  Boli cerebro-vasculare, Arges, Anul 2014, Numar persoane, 1083
din care:  Boli cerebro-vasculare, Arges, Anul 2015, Numar persoane, 1008
din care:  Boli cerebro-vasculare, Arges, Anul 2016, Numar persoane, 1004
din care:  Boli cerebro-vasculare, Calarasi, Anul 1990, Numar persoane, 591
din care:  Boli cerebro-vasculare, Calarasi, Anul 1991, Numar persoane, 590
din care:  Boli cerebro-vasculare, Calarasi, Anul 1992, Numar persoane, 613
din care:  Boli cerebro-vasculare, Calarasi, Anul 1993, Numar persoane, 855
din care:  Boli cerebro-vasculare, Calarasi, Anul 1994, Numar persoane, 950
din care:  Boli cerebro-vasculare, Calarasi, Anul 1995, Numar persoane, 939
din care:  Boli cerebro-vasculare, Calarasi, Anul 1996, Numar persoane, 1058
din care:  Boli cerebro-vasculare, Calarasi, Anul 1997, Numar persoane, 1002
din care:  Boli cerebro-vasculare, Calarasi, Anul 1998, Numar persoane, 944
din care:  Boli cerebro-vasculare, Calarasi, Anul 1999, Numar persoane, 943
din care:  Boli cerebro-vasculare, Calarasi, Anul 2000, Numar persoane, 987
din care:  Boli cerebro-vasculare, Calarasi, Anul 2001, Numar persoane, 910
din care:  Boli cerebro-vasculare, Calarasi, Anul 2002, Numar persoane, 831
din care:  Boli cerebro-vasculare, Calarasi, Anul 2003, Numar persoane, 899
din care:  Boli cerebro-vasculare, Calarasi, Anul 2004, Numar persoane, 966
din care:  Boli cerebro-vasculare, Calarasi, Anul 2005, Numar persoane, 1030
din care:  Boli cerebro-vasculare, Calarasi, Anul 2006, Numar persoane, 1022
din care:  Boli cerebro-vasculare, Calarasi, Anul 2007, Numar persoane, 837
din care:  Boli cerebro-vasculare, Calarasi, Anul 2008, Numar persoane, 1057
din care:  Boli cerebro-vasculare, Calarasi, Anul 2009, Numar persoane, 1058
din care:  Boli cerebro-vasculare, Calarasi, Anul 2010, Numar persoane, 1081
din care:  Boli cerebro-vasculare, Calarasi, Anul 2011, Numar persoane, 1076
din care:  Boli cerebro-vasculare, Calarasi, Anul 2012, Numar persoane, 1101
din care:  Boli cerebro-vasculare, Calarasi, Anul 2013, Numar persoane, 1123
din care:  Boli cerebro-vasculare, Calarasi, Anul 2014, Numar persoane, 1034
din care:  Boli cerebro-vasculare, Calarasi, Anul 2015, Numar persoane, 980
din care:  Boli cerebro-vasculare, Calarasi, Anul 2016, Numar persoane, 927
din care:  Boli cerebro-vasculare, Dambovita, Anul 1990, Numar persoane, 1072
din care:  Boli cerebro-vasculare, Dambovita, Anul 1991, Numar persoane, 1147
din care:  Boli cerebro-vasculare, Dambovita, Anul 1992, Numar persoane, 1208
din care:  Boli cerebro-vasculare, Dambovita, Anul 1993, Numar persoane, 1709
din care:  Boli cerebro-vasculare, Dambovita, Anul 1994, Numar persoane, 1605
din care:  Boli cerebro-vasculare, Dambovita, Anul 1995, Numar persoane, 1879
din care:  Boli cerebro-vasculare, Dambovita, Anul 1996, Numar persoane, 1929
din care:  Boli cerebro-vasculare, Dambovita, Anul 1997, Numar persoane, 1897
din care:  Boli cerebro-vasculare, Dambovita, Anul 1998, Numar persoane, 1851
din care:  Boli cerebro-vasculare, Dambovita, Anul 1999, Numar persoane, 1726
din care:  Boli cerebro-vasculare, Dambovita, Anul 2000, Numar persoane, 1693
din care:  Boli cerebro-vasculare, Dambovita, Anul 2001, Numar persoane, 1685
din care:  Boli cerebro-vasculare, Dambovita, Anul 2002, Numar persoane, 1855
din care:  Boli cerebro-vasculare, Dambovita, Anul 2003, Numar persoane, 1825
din care:  Boli cerebro-vasculare, Dambovita, Anul 2004, Numar persoane, 1683
din care:  Boli cerebro-vasculare, Dambovita, Anul 2005, Numar persoane, 1894
din care:  Boli cerebro-vasculare, Dambovita, Anul 2006, Numar persoane, 1824
din care:  Boli cerebro-vasculare, Dambovita, Anul 2007, Numar persoane, 1696
din care:  Boli cerebro-vasculare, Dambovita, Anul 2008, Numar persoane, 1695
din care:  Boli cerebro-vasculare, Dambovita, Anul 2009, Numar persoane, 1723
din care:  Boli cerebro-vasculare, Dambovita, Anul 2010, Numar persoane, 1620
din care:  Boli cerebro-vasculare, Dambovita, Anul 2011, Numar persoane, 1539
din care:  Boli cerebro-vasculare, Dambovita, Anul 2012, Numar persoane, 1563
din care:  Boli cerebro-vasculare, Dambovita, Anul 2013, Numar persoane, 1540
din care:  Boli cerebro-vasculare, Dambovita, Anul 2014, Numar persoane, 1462
din care:  Boli cerebro-vasculare, Dambovita, Anul 2015, Numar persoane, 1480
din care:  Boli cerebro-vasculare, Dambovita, Anul 2016, Numar persoane, 1484
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1990, Numar persoane, 793
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1991, Numar persoane, 780
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1992, Numar persoane, 797
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1993, Numar persoane, 1308
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1994, Numar persoane, 1240
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1995, Numar persoane, 1402
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1996, Numar persoane, 1483
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1997, Numar persoane, 1361
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1998, Numar persoane, 1271
din care:  Boli cerebro-vasculare, Giurgiu, Anul 1999, Numar persoane, 1315
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2000, Numar persoane, 1224
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2001, Numar persoane, 1346
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2002, Numar persoane, 1389
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2003, Numar persoane, 1363
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2004, Numar persoane, 1236
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2005, Numar persoane, 1332
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2006, Numar persoane, 1411
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2007, Numar persoane, 1307
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2008, Numar persoane, 1255
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2009, Numar persoane, 1251
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2010, Numar persoane, 1185
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2011, Numar persoane, 1197
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2012, Numar persoane, 1268
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2013, Numar persoane, 1203
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2014, Numar persoane, 1149
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2015, Numar persoane, 1040
din care:  Boli cerebro-vasculare, Giurgiu, Anul 2016, Numar persoane, 820
din care:  Boli cerebro-vasculare, Ialomita, Anul 1990, Numar persoane, 537
din care:  Boli cerebro-vasculare, Ialomita, Anul 1991, Numar persoane, 466
din care:  Boli cerebro-vasculare, Ialomita, Anul 1992, Numar persoane, 477
din care:  Boli cerebro-vasculare, Ialomita, Anul 1993, Numar persoane, 771
din care:  Boli cerebro-vasculare, Ialomita, Anul 1994, Numar persoane, 724
din care:  Boli cerebro-vasculare, Ialomita, Anul 1995, Numar persoane, 709
din care:  Boli cerebro-vasculare, Ialomita, Anul 1996, Numar persoane, 781
din care:  Boli cerebro-vasculare, Ialomita, Anul 1997, Numar persoane, 778
din care:  Boli cerebro-vasculare, Ialomita, Anul 1998, Numar persoane, 813
din care:  Boli cerebro-vasculare, Ialomita, Anul 1999, Numar persoane, 811
din care:  Boli cerebro-vasculare, Ialomita, Anul 2000, Numar persoane, 838
din care:  Boli cerebro-vasculare, Ialomita, Anul 2001, Numar persoane, 856
din care:  Boli cerebro-vasculare, Ialomita, Anul 2002, Numar persoane, 853
din care:  Boli cerebro-vasculare, Ialomita, Anul 2003, Numar persoane, 922
din care:  Boli cerebro-vasculare, Ialomita, Anul 2004, Numar persoane, 911
din care:  Boli cerebro-vasculare, Ialomita, Anul 2005, Numar persoane, 896
din care:  Boli cerebro-vasculare, Ialomita, Anul 2006, Numar persoane, 854
din care:  Boli cerebro-vasculare, Ialomita, Anul 2007, Numar persoane, 852
din care:  Boli cerebro-vasculare, Ialomita, Anul 2008, Numar persoane, 942
din care:  Boli cerebro-vasculare, Ialomita, Anul 2009, Numar persoane, 918
din care:  Boli cerebro-vasculare, Ialomita, Anul 2010, Numar persoane, 862
din care:  Boli cerebro-vasculare, Ialomita, Anul 2011, Numar persoane, 888
din care:  Boli cerebro-vasculare, Ialomita, Anul 2012, Numar persoane, 927
din care:  Boli cerebro-vasculare, Ialomita, Anul 2013, Numar persoane, 896
din care:  Boli cerebro-vasculare, Ialomita, Anul 2014, Numar persoane, 920
din care:  Boli cerebro-vasculare, Ialomita, Anul 2015, Numar persoane, 866
din care:  Boli cerebro-vasculare, Ialomita, Anul 2016, Numar persoane, 858
din care:  Boli cerebro-vasculare, Prahova, Anul 1990, Numar persoane, 1544
din care:  Boli cerebro-vasculare, Prahova, Anul 1991, Numar persoane, 1481
din care:  Boli cerebro-vasculare, Prahova, Anul 1992, Numar persoane, 1515
din care:  Boli cerebro-vasculare, Prahova, Anul 1993, Numar persoane, 2013
din care:  Boli cerebro-vasculare, Prahova, Anul 1994, Numar persoane, 2042
din care:  Boli cerebro-vasculare, Prahova, Anul 1995, Numar persoane, 2045
din care:  Boli cerebro-vasculare, Prahova, Anul 1996, Numar persoane, 2224
din care:  Boli cerebro-vasculare, Prahova, Anul 1997, Numar persoane, 2280
din care:  Boli cerebro-vasculare, Prahova, Anul 1998, Numar persoane, 1956
din care:  Boli cerebro-vasculare, Prahova, Anul 1999, Numar persoane, 1963
din care:  Boli cerebro-vasculare, Prahova, Anul 2000, Numar persoane, 1821
din care:  Boli cerebro-vasculare, Prahova, Anul 2001, Numar persoane, 2115
din care:  Boli cerebro-vasculare, Prahova, Anul 2002, Numar persoane, 2276
din care:  Boli cerebro-vasculare, Prahova, Anul 2003, Numar persoane, 2399
din care:  Boli cerebro-vasculare, Prahova, Anul 2004, Numar persoane, 2270
din care:  Boli cerebro-vasculare, Prahova, Anul 2005, Numar persoane, 2375
din care:  Boli cerebro-vasculare, Prahova, Anul 2006, Numar persoane, 2272
din care:  Boli cerebro-vasculare, Prahova, Anul 2007, Numar persoane, 2003
din care:  Boli cerebro-vasculare, Prahova, Anul 2008, Numar persoane, 1290
din care:  Boli cerebro-vasculare, Prahova, Anul 2009, Numar persoane, 947
din care:  Boli cerebro-vasculare, Prahova, Anul 2010, Numar persoane, 1071
din care:  Boli cerebro-vasculare, Prahova, Anul 2011, Numar persoane, 1002
din care:  Boli cerebro-vasculare, Prahova, Anul 2012, Numar persoane, 1149
din care:  Boli cerebro-vasculare, Prahova, Anul 2013, Numar persoane, 1247
din care:  Boli cerebro-vasculare, Prahova, Anul 2014, Numar persoane, 1189
din care:  Boli cerebro-vasculare, Prahova, Anul 2015, Numar persoane, 1279
din care:  Boli cerebro-vasculare, Prahova, Anul 2016, Numar persoane, 1261
din care:  Boli cerebro-vasculare, Teleorman, Anul 1990, Numar persoane, 1715
din care:  Boli cerebro-vasculare, Teleorman, Anul 1991, Numar persoane, 1658
din care:  Boli cerebro-vasculare, Teleorman, Anul 1992, Numar persoane, 1796
din care:  Boli cerebro-vasculare, Teleorman, Anul 1993, Numar persoane, 2267
din care:  Boli cerebro-vasculare, Teleorman, Anul 1994, Numar persoane, 2146
din care:  Boli cerebro-vasculare, Teleorman, Anul 1995, Numar persoane, 2268
din care:  Boli cerebro-vasculare, Teleorman, Anul 1996, Numar persoane, 2301
din care:  Boli cerebro-vasculare, Teleorman, Anul 1997, Numar persoane, 2374
din care:  Boli cerebro-vasculare, Teleorman, Anul 1998, Numar persoane, 2190
din care:  Boli cerebro-vasculare, Teleorman, Anul 1999, Numar persoane, 2124
din care:  Boli cerebro-vasculare, Teleorman, Anul 2000, Numar persoane, 2063
din care:  Boli cerebro-vasculare, Teleorman, Anul 2001, Numar persoane, 2007
din care:  Boli cerebro-vasculare, Teleorman, Anul 2002, Numar persoane, 2090
din care:  Boli cerebro-vasculare, Teleorman, Anul 2003, Numar persoane, 2195
din care:  Boli cerebro-vasculare, Teleorman, Anul 2004, Numar persoane, 2018
din care:  Boli cerebro-vasculare, Teleorman, Anul 2005, Numar persoane, 2193
din care:  Boli cerebro-vasculare, Teleorman, Anul 2006, Numar persoane, 1699
din care:  Boli cerebro-vasculare, Teleorman, Anul 2007, Numar persoane, 1540
din care:  Boli cerebro-vasculare, Teleorman, Anul 2008, Numar persoane, 1330
din care:  Boli cerebro-vasculare, Teleorman, Anul 2009, Numar persoane, 1456
din care:  Boli cerebro-vasculare, Teleorman, Anul 2010, Numar persoane, 1928
din care:  Boli cerebro-vasculare, Teleorman, Anul 2011, Numar persoane, 1868
din care:  Boli cerebro-vasculare, Teleorman, Anul 2012, Numar persoane, 1963
din care:  Boli cerebro-vasculare, Teleorman, Anul 2013, Numar persoane, 1887
din care:  Boli cerebro-vasculare, Teleorman, Anul 2014, Numar persoane, 1894
din care:  Boli cerebro-vasculare, Teleorman, Anul 2015, Numar persoane, 1874
din care:  Boli cerebro-vasculare, Teleorman, Anul 2016, Numar persoane, 1671
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 4061
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 4251
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 4392
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 5286
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 5280
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 5190
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 5811
din care:  Boli cerebro-vasculare, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 5515
